ad_unit_id,ad_unit_name,screen_width,screen_height,orientation,venue_id,venue_name
a54b4c41-2663-4d0f-988c-0cde47511ed5,Taunton Left Portrait 3,1080,1920,Portrait,83760cf4-073f-41cc-b25f-851258472378,Aleixo Skating Arena
5e9c041d-c987-402a-812e-3e870fc5b159,Taunton Main,1920,1080,Landscape,83760cf4-073f-41cc-b25f-851258472378,Aleixo Skating Arena
0627aab2-9267-4e58-b297-1c4a9c8448c5,Taunton Rental Screen 2,1080,1920,Portrait,83760cf4-073f-41cc-b25f-851258472378,Aleixo Skating Arena
2c9ed4bb-f62c-41f8-b6a3-752fd407cb3b,Taunton Right Portrait 3,1080,1920,PortraitLeft,83760cf4-073f-41cc-b25f-851258472378,Aleixo Skating Arena
7aa4f4e0-5fd1-4470-931d-5249c45c0487,Taunton Snack Bar Left 2,1920,1080,Landscape,83760cf4-073f-41cc-b25f-851258472378,Aleixo Skating Arena
7bddbc6a-39c7-4cf2-8d93-1bd444bdb77f,Taunton Snack Bar Right,1920,1080,Landscape,83760cf4-073f-41cc-b25f-851258472378,Aleixo Skating Arena
91311aaf-2d30-49bd-bc90-e7359ff61caa,Allied Veterans - New 1,1920,1080,Landscape,dfa73e5a-7de8-4735-ad71-9047e670176d,Allied Veterans Skating Rink
0ceb8fcd-5d27-4d0f-879f-547303bb4538,Allied Veterans - New 2,1920,1080,Landscape,dfa73e5a-7de8-4735-ad71-9047e670176d,Allied Veterans Skating Rink
49284504-a086-412c-ac2d-67526c29b37a,Allied Veterans Main Lobby 2,1920,1080,Landscape,dfa73e5a-7de8-4735-ad71-9047e670176d,Allied Veterans Skating Rink
7dd5ae0f-2c17-4515-ab12-d5fcd64777cb,Allied Veterans Rental 2,1080,1920,PortraitLeft,dfa73e5a-7de8-4735-ad71-9047e670176d,Allied Veterans Skating Rink
79cfb6f7-7dbe-4936-8ae3-15c5b5ed9b40,Allied Veterans Rink Office,1920,1080,Landscape,dfa73e5a-7de8-4735-ad71-9047e670176d,Allied Veterans Skating Rink
68b37325-2295-4021-9768-eded4ab9fabb,Allied Veterans Snack Bar Left,1920,1080,Landscape,dfa73e5a-7de8-4735-ad71-9047e670176d,Allied Veterans Skating Rink
836538b4-a517-4401-87bd-8ed3cadd2fe0,Plymouth Main TV,1920,1080,Landscape,96157c35-7e41-46f6-8ffd-de3d523e903b,Armstrong Arena
b82af595-dc87-4a61-b072-c43fad6564ab,Plymouth Portrait Left,1080,1920,Portrait,96157c35-7e41-46f6-8ffd-de3d523e903b,Armstrong Arena
0c1f48ed-b9f5-44d6-85eb-93e9b9072545,Plymouth Portrait Right,1080,1920,Portrait,96157c35-7e41-46f6-8ffd-de3d523e903b,Armstrong Arena
0d381953-5056-4725-9aa7-b925ed379d63,Plymouth Rental,1080,1920,PortraitLeft,96157c35-7e41-46f6-8ffd-de3d523e903b,Armstrong Arena
48beba9b-917f-49d5-87ca-8bba50aeec91,Plymouth Snack Bar,1080,1920,PortraitLeft,96157c35-7e41-46f6-8ffd-de3d523e903b,Armstrong Arena
c38fcd59-6192-4429-9f55-2b06b718d8a5,Brockton Main,1920,1080,Landscape,26ea25da-ad00-4a59-9097-81d26e3cfe9f,Asiaf Arena
3bbb072d-195f-4ede-809c-19d9cce85e3c,Brockton Portrait Left,1080,1920,Portrait,26ea25da-ad00-4a59-9097-81d26e3cfe9f,Asiaf Arena
32deeb67-ef22-4498-8074-9dce35d2dd1f,Brockton Portrait Right,1080,1920,Portrait,26ea25da-ad00-4a59-9097-81d26e3cfe9f,Asiaf Arena
548a9104-7d71-483e-b27a-748208ede4d3,Brockton Rental,1080,1920,PortraitLeft,26ea25da-ad00-4a59-9097-81d26e3cfe9f,Asiaf Arena
b4b55290-a888-4716-b9e3-003fb73b2374,Brockton Snack Bar Left,1920,1080,Landscape,26ea25da-ad00-4a59-9097-81d26e3cfe9f,Asiaf Arena
6247d618-d49f-40b8-bfac-2724e5d7f3ff,Brockton Snack Bar Right,1920,1080,Landscape,26ea25da-ad00-4a59-9097-81d26e3cfe9f,Asiaf Arena
e1682c7b-39a4-4b55-968a-05df041b14fd,Front Desk 3,1080,1920,PortraitLeft,92a3f5bc-c76b-4a5a-9097-31fcab87e521,Atlantis Sports Club & Spa (Hyannis)
944ec55f-0ca5-4ab4-8915-b86a71bbe61c,Lounge Wall 3,1080,1920,Portrait,92a3f5bc-c76b-4a5a-9097-31fcab87e521,Atlantis Sports Club & Spa (Hyannis)
c19bdba4-e697-424f-8941-7ed3d9d19267,Boch - Left,1920,1080,Landscape,52b56d0a-ad29-4398-9107-27bf927f1cb1,Boch Ice Center
f86c119d-6cfc-4bf6-beec-440df159bba2,Boch - Right,1920,1080,Landscape,52b56d0a-ad29-4398-9107-27bf927f1cb1,Boch Ice Center
bbb10c4c-7684-4865-bd18-5b47ed167c8d,BSI 2nd Floor Lobby,1920,1080,Landscape,b24839c1-d52b-45e7-a3fd-8708992abf9e,Boston Sports Institute
864c3d96-6423-4541-99c5-719222593490,BSI Pool (P),1080,1920,Portrait,b24839c1-d52b-45e7-a3fd-8708992abf9e,Boston Sports Institute
f367f314-2577-4391-8b88-71c23541e9f9,BSI Rink Portrait,1080,1920,PortraitLeft,b24839c1-d52b-45e7-a3fd-8708992abf9e,Boston Sports Institute
a9f5b61d-0bd8-44ba-8749-60cc3be1ea8b,BSI Triple Screen,1080,1920,Portrait,b24839c1-d52b-45e7-a3fd-8708992abf9e,Boston Sports Institute
32ddb4b7-8afa-4234-9d96-8b36bc2177a0,BIA - Front Lobby (Rink),1920,1080,Landscape,5d56960f-e7dc-4c46-9335-ca42774a5bec,Bridgewater Ice Arena
e558331a-4f5e-4fd9-9fe6-ea258d114ce4,BIA Lobby (Shop),1920,1080,Landscape,5d56960f-e7dc-4c46-9335-ca42774a5bec,Bridgewater Ice Arena
d52d7d69-0188-4600-8c15-b6a7d40ecbf5,BIA Lobby Wall (Office),1920,1080,Landscape,5d56960f-e7dc-4c46-9335-ca42774a5bec,Bridgewater Ice Arena
d118ba32-5e50-4489-b3f2-d7771398078b,Dome Lobby,1920,1080,Landscape,1ac57f61-5695-4385-9008-4fff7acd6598,Bridgewater Sports Complex
d442b0f3-d893-4c07-8cf4-06b3d71b1f3b,Dome Upstairs,1920,1080,Landscape,1ac57f61-5695-4385-9008-4fff7acd6598,Bridgewater Sports Complex
fe14553b-2478-45c5-b199-4765dee40474,Worcester - Rental,1080,1920,Portrait,aa121341-4f90-4bf8-954a-0c1c99960c33,Buffone Skating Arena
3afcd9be-f80a-4020-995a-1ba140b38231,Worcester Main TV 2,1920,1080,Landscape,aa121341-4f90-4bf8-954a-0c1c99960c33,Buffone Skating Arena
97e40b15-8302-47d5-9526-c75b90f00150,Worcester Portrait Left,1080,1920,Portrait,aa121341-4f90-4bf8-954a-0c1c99960c33,Buffone Skating Arena
5922ff94-6811-47e6-804d-0acc71d0433d,Worcester Portrait Right 2,1080,1920,Portrait,aa121341-4f90-4bf8-954a-0c1c99960c33,Buffone Skating Arena
b5083996-c723-49fa-9d7f-10a65eaa4425,Worcester Snack Bar Left,1920,1080,Landscape,aa121341-4f90-4bf8-954a-0c1c99960c33,Buffone Skating Arena
bbea5df1-7401-431b-a9de-5da030fe028e,Worcester Snack Bar Right,1920,1080,Landscape,aa121341-4f90-4bf8-954a-0c1c99960c33,Buffone Skating Arena
0d3ab9f4-8758-413d-9385-10412dc79755,Burlington Main TV,1920,1080,Landscape,38c82fd6-51d9-4bf6-9c84-3ab7638acc58,Burlington Ice Palace
6d9b286e-ae3f-47da-8d04-9144b01edc6f,Burlington Portrait Left - 2,1080,1920,Portrait,38c82fd6-51d9-4bf6-9c84-3ab7638acc58,Burlington Ice Palace
9fb6746a-6433-4fd6-b1da-7941a37f0110,Burlington Portrait Right,1080,1920,PortraitLeft,38c82fd6-51d9-4bf6-9c84-3ab7638acc58,Burlington Ice Palace
e0d3d59d-46f5-4c11-baec-a9c394d77a16,Burlington Rental,1080,1920,Portrait,38c82fd6-51d9-4bf6-9c84-3ab7638acc58,Burlington Ice Palace
7fec59f1-295d-4033-8411-b57f84d2af7f,Burlington Snack Bar Left,1920,1080,Landscape,38c82fd6-51d9-4bf6-9c84-3ab7638acc58,Burlington Ice Palace
71604672-0d7c-4967-9a80-4d85957f59b7,Burlington Snack Bar Right,1920,1080,Landscape,38c82fd6-51d9-4bf6-9c84-3ab7638acc58,Burlington Ice Palace
5e1ec5a7-169c-457c-bd57-47a5a50c493c,CIH New Far Wall,1920,1080,Landscape,700c41d4-9446-46e9-b235-4ad07549254c,Canton Ice House
d24d49aa-f5e8-4441-8ac8-3191a8869220,CIH New1,1920,1080,Landscape,700c41d4-9446-46e9-b235-4ad07549254c,Canton Ice House
df25bd10-3b92-4508-b6b6-48406f3e8cf1,CIH New2,1920,1080,Landscape,700c41d4-9446-46e9-b235-4ad07549254c,Canton Ice House
27e7b91a-1142-45b4-b1d9-9a08987ae69f,Capelli - Lobby,1920,1080,Landscape,cce927d8-3170-492f-b0a1-a58c7919d1c6,Capelli Sports Center
b1745d29-9b66-4856-b6e0-c6218c9f8a4c,Main Lobby,1920,1080,Landscape,51d3dc63-c66c-4f25-9f7f-96cd2b5e53e3,Charles Moore Arena
86438150-9e76-4746-b3f7-431e62086165,Cohasset Lobby,1920,1080,Landscape,f41e1819-a1ad-46f7-91c6-dde95c80c783,Cohasset Sports Complex
0d5bdebb-7535-4c51-bf50-1c7bce7ba4ba,Cohasset Upstairs,1920,1080,Landscape,f41e1819-a1ad-46f7-91c6-dde95c80c783,Cohasset Sports Complex
068c97e5-85c9-4db6-9bc2-9d41ac450758,Greenfield - Portrait Left,1080,1920,Portrait,9642e2eb-b4d9-4cc6-b3e2-fce08335f388,Collins/Moylan Arena
9c5591ee-e895-423f-bba3-fd62fccb7fe6,Greenfield - Portrait Right,1080,1920,Portrait,9642e2eb-b4d9-4cc6-b3e2-fce08335f388,Collins/Moylan Arena
a5442ff8-3c7a-4d5c-a2f3-874558cdb3f4,Greenfield - Rental,1080,1920,Portrait,9642e2eb-b4d9-4cc6-b3e2-fce08335f388,Collins/Moylan Arena
6dc11192-2ce9-4da5-badb-311c51e44cc8,Greenfield Main TV,1920,1080,Landscape,9642e2eb-b4d9-4cc6-b3e2-fce08335f388,Collins/Moylan Arena
7df62ee4-3ef7-445c-8400-821eccb4b16e,Greenfield Snack Bar Left,1920,1080,Landscape,9642e2eb-b4d9-4cc6-b3e2-fce08335f388,Collins/Moylan Arena
7f92fc80-cd64-4214-b2ac-52364f0806f4,Greenfield Snack Bar Right,1920,1080,Landscape,9642e2eb-b4d9-4cc6-b3e2-fce08335f388,Collins/Moylan Arena
81d90f4e-a0b1-4b52-8b90-eedbff3103a4,Connell Pool,1920,1080,Landscape,6daef65f-3b36-4e6f-8a28-40e41676ddcc,Connell Pool & Rink
5dd8dfb9-937b-44de-b658-8b7c82c50b12,Connell Rink,1920,1080,Landscape,6daef65f-3b36-4e6f-8a28-40e41676ddcc,Connell Pool & Rink
f5b25942-4f03-46a9-a2dc-60bdd5f70485,Lynn Main TV,1920,1080,Landscape,28478e4a-2aa8-41e2-9f4d-f7d57595bea6,Connery Ice Rink
df3ad44f-0778-4d1f-8cbc-9e2c218730ce,Lynn Portrait Left (2),1080,1920,Portrait,28478e4a-2aa8-41e2-9f4d-f7d57595bea6,Connery Ice Rink
d097449d-5ce5-4ccb-b5b3-989d831751e0,Lynn Portrait Right,1080,1920,Portrait,28478e4a-2aa8-41e2-9f4d-f7d57595bea6,Connery Ice Rink
c9e7dd96-b98c-4175-9ef1-cb722c871157,Lynn Rental,1080,1920,Portrait,28478e4a-2aa8-41e2-9f4d-f7d57595bea6,Connery Ice Rink
ea158a5e-46fd-4290-bb88-7fee8bbb980a,Lynn Snack Bar,1080,1920,PortraitLeft,28478e4a-2aa8-41e2-9f4d-f7d57595bea6,Connery Ice Rink
380d519b-2648-48d6-8cef-be73a65719d4,Revere Main TV,1920,1080,Landscape,e41f4b80-4ec8-40b8-8c00-c27ada346adc,Cronin Ice Rink
d191e224-6905-41eb-8fac-31d6a5bdb430,Revere Portrait Left,1080,1920,Portrait,e41f4b80-4ec8-40b8-8c00-c27ada346adc,Cronin Ice Rink
3c2a7ed7-0702-40dd-880a-704505ef572c,Revere Portrait Right,1080,1920,Portrait,e41f4b80-4ec8-40b8-8c00-c27ada346adc,Cronin Ice Rink
0f532638-b324-45f0-b707-846f6ea3c57c,Revere Rental,1080,1920,Portrait,e41f4b80-4ec8-40b8-8c00-c27ada346adc,Cronin Ice Rink
d08794a5-2c3e-41b6-8fb1-23c1efdfd72f,Revere Snack Bar,1080,1920,Portrait,e41f4b80-4ec8-40b8-8c00-c27ada346adc,Cronin Ice Rink
9eaaa291-3a65-4b01-a9d5-f4735d2d0a9c,Daly Rink Lobby,1920,1080,Landscape,addab444-a86e-43b4-8856-0a6a55b748e1,Daly Rink
32a6e5df-5481-4b9e-ac1b-d8e871caea78,DIH - Left,1080,1920,Portrait,76a171b7-e57e-463b-aafa-a42943e25850,Darien Ice House
cdded50a-450f-4c39-baba-0b97f77bcd1f,DIH - Right (2),1080,1920,Portrait,76a171b7-e57e-463b-aafa-a42943e25850,Darien Ice House
628f3a40-aaea-47fa-9deb-f152a6783360,DN - Lobby,1920,1080,Landscape,adf479a5-fe45-41dc-aa82-8d01c906d5f0,Diamond Nation
cf27913d-daf1-4b4e-abd5-f2ee9024c450,Fall River Main,1920,1080,Landscape,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena
0603384f-fcc2-48b2-8e98-4a6f04d6a79e,Fall River Portrait Left,1080,1920,Portrait,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena
099fb9a0-38c0-4989-adcb-69e04c9a61db,Fall River Portrait Right,1080,1920,PortraitLeft,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena
18b37b36-3e7b-47ef-ab18-dab83476ad75,Fall River Rental,1080,1920,Portrait,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena
6bb2bfd0-5dd9-4018-8177-6b103427dd77,Fall River Snack,1080,1920,Portrait,8da827a2-61f6-4333-8adc-f12877c7e5d5,Driscoll Skating Arena
37914f22-63d0-4e48-825f-d9d5d030d594,Essex Lobby,1920,1080,Landscape,96a315a2-ad4f-462a-961b-74e7ce6e4913,Essex Sports Center
0120bdd3-76c4-4d20-8c0f-20ab4411dc65,Essex Rink Screen,1920,1080,Landscape,96a315a2-ad4f-462a-961b-74e7ce6e4913,Essex Sports Center
9849e57b-3762-4427-b509-ce131bfbcc4b,Essex Turf Field,1080,1920,PortraitLeft,96a315a2-ad4f-462a-961b-74e7ce6e4913,Essex Sports Center
4e131fd8-7fa6-4750-b198-8ce0ebf5b145,Holyoke Main TV,1920,1080,Landscape,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena
c22a326e-52cb-4f57-8c74-c05e210a1214,Holyoke Portrait Left,1080,1920,PortraitLeft,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena
93f7e83f-2fdb-42d7-a0f3-ead3d11b49a8,Holyoke Portrait Right,1080,1920,Portrait,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena
5c71e8f3-5f29-4bff-aa3a-141176682da0,Holyoke Rental,1080,1920,Portrait,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena
9ebbed26-3bc1-4d77-b94f-e459e41c79ae,Holyoke Snack Bar Left,1920,1080,Landscape,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena
19308c40-ed83-425f-bd7b-09170482e1ac,Holyoke Snack Bar Right,1920,1080,Landscape,6fa5ce1f-bcf6-4f45-84ed-f3b546f5a3b4,Fitzpatrick Skating Arena
6ccf3abf-2d57-4b7a-bdfc-0ef76eb8ba4f,FMC Office - Courtney,1080,1920,Portrait,fd3b701a-174f-42ee-90a6-9cac58cd1e14,FMC Office
ec22c726-fc30-4a41-8e84-996f82d3b3cb,Foxboro Sports - Mezzanine,1920,1080,Landscape,c58c331d-2334-43fd-a1e2-52e4e3122c94,Foxboro Sports Center
ab005511-69e0-406c-a394-cd1c95904056,Foxboro Sports - Rink 1,1920,1080,Landscape,c58c331d-2334-43fd-a1e2-52e4e3122c94,Foxboro Sports Center
b362b46c-0850-437f-b795-35c14a73a470,Foxboro Sports - Rink 2,1920,1080,Landscape,c58c331d-2334-43fd-a1e2-52e4e3122c94,Foxboro Sports Center
9d29b913-676e-479f-91e3-fc8c01ff2a3a,Foxboro Sports - Rink 3,1920,1080,Landscape,c58c331d-2334-43fd-a1e2-52e4e3122c94,Foxboro Sports Center
a2e0578f-09eb-4776-9d48-904d02cb8a9c,FR - Albany #1 (new),1920,1080,Landscape,b7fc3db2-c9f8-4cb4-a30d-0ba39fb28c14,Frozen Ropes
2c1fd4de-8181-4e97-83ee-3c4cef8ccd6d,FR - Albany New 1,1920,1080,Landscape,b7fc3db2-c9f8-4cb4-a30d-0ba39fb28c14,Frozen Ropes
f278503a-dd47-482e-870a-3cd14504002e,FR - Albany New 2,1920,1080,Landscape,b7fc3db2-c9f8-4cb4-a30d-0ba39fb28c14,Frozen Ropes
bbb3eb33-7a52-42b6-ad47-77d6e732777e,FR - Albany Pro Shop,1920,1080,Landscape,b7fc3db2-c9f8-4cb4-a30d-0ba39fb28c14,Frozen Ropes
af7fe693-15d2-422b-bb84-4a64d203dfac,FR Chester - Behind Snack Bar,1920,1080,Landscape,2c736740-e578-49db-8e90-7834634620e4,Frozen Ropes
887bf353-eae0-4ba4-aafe-a12b8ed8cb82,FR Chester - Field,1920,1080,Landscape,2c736740-e578-49db-8e90-7834634620e4,Frozen Ropes
e605a730-a75d-4dd0-9f07-8fb29ac0466a,FR Chester - Front Desk,1920,1080,Landscape,2c736740-e578-49db-8e90-7834634620e4,Frozen Ropes
2c260906-c943-44bb-bd12-2f69d20f0b23,FR Chester - Lobby,1920,1080,Landscape,2c736740-e578-49db-8e90-7834634620e4,Frozen Ropes
dbecc020-9c87-4dab-a1fb-ee3ed2979ed5,FR Chester - Lounge,1920,1080,Landscape,2c736740-e578-49db-8e90-7834634620e4,Frozen Ropes
56255324-1338-43cd-8e21-8e7e814d2e5c,FR Chester - Outside,1920,1080,Landscape,2c736740-e578-49db-8e90-7834634620e4,Frozen Ropes
eb40b3b3-6a38-46f3-bea1-07653daf876f,FR Chester - Side Entrance,1920,1080,Landscape,2c736740-e578-49db-8e90-7834634620e4,Frozen Ropes
e83e9e3d-b394-430a-9eb5-1b62ecb4831f,FR Chester #8 Viewing Room,1920,1080,Landscape,2c736740-e578-49db-8e90-7834634620e4,Frozen Ropes
333151bb-a6fa-4601-82e8-7487c174d0d1,Frozen Ropes - Front,1920,1080,Landscape,5525ae80-fbec-4b2d-a7e4-dcc871b8ef01,Frozen Ropes
5911ec49-6c53-45c8-a47e-c588c313a0bd,Frozen Ropes - Turf,1920,1080,Landscape,5525ae80-fbec-4b2d-a7e4-dcc871b8ef01,Frozen Ropes
b01e62b3-a250-40a6-99dc-785a527588d3,Gardner Main TV,1920,1080,Landscape,1b3485ab-6eeb-418e-aa9e-521699a52122,Gardner Veteran's Arena
04488196-c3cf-4af5-a00f-290f8ad5773e,Gardner Menu Left,1920,1080,Landscape,1b3485ab-6eeb-418e-aa9e-521699a52122,Gardner Veteran's Arena
4da47ef7-ea93-4e1f-ba36-29be341eb3a6,Gardner Portrait Left,1080,1920,Portrait,1b3485ab-6eeb-418e-aa9e-521699a52122,Gardner Veteran's Arena
12e79a64-bf12-491d-8111-b645c6e05289,Gardner Portrait Right,1080,1920,Portrait,1b3485ab-6eeb-418e-aa9e-521699a52122,Gardner Veteran's Arena
ff89624a-fbfa-4917-88b8-153edfeba35b,Gardner Rental,1080,1920,Portrait,1b3485ab-6eeb-418e-aa9e-521699a52122,Gardner Veteran's Arena
c5025923-f004-4c16-97e9-46e863e920c4,Gardner Snack Bar Right,1920,1080,Landscape,1b3485ab-6eeb-418e-aa9e-521699a52122,Gardner Veteran's Arena
08c21006-9478-471b-95b1-745147415999,HQ - Group Fitness,1920,1080,Landscape,9080ee31-aad4-4ce4-bb84-4edbe60c89a7,HealthQuest
1b12c57f-6dab-4668-9ead-fceb6d521395,HQ - Stairs,1920,1080,Landscape,9080ee31-aad4-4ce4-bb84-4edbe60c89a7,HealthQuest
f8244983-277d-4638-be32-6a98b54b85bf,HQ - Trainer Wall,1920,1080,Landscape,9080ee31-aad4-4ce4-bb84-4edbe60c89a7,HealthQuest
3a0cf21f-8721-4d10-80ac-518ddb7cc15b,HQ - Water Fountains (New),1920,1080,Landscape,9080ee31-aad4-4ce4-bb84-4edbe60c89a7,HealthQuest
7b54eb31-6e63-418c-b157-ad9369a9df57,Henry Graf Lobby Left,1920,1080,Landscape,d3082c56-fd7a-412b-977f-c9a5ebac9679,Henry Graf Rink
92dae09f-03f7-49e2-ad33-7f669ca9bbd8,Henry Graf Lobby Right,1920,1080,Landscape,d3082c56-fd7a-412b-977f-c9a5ebac9679,Henry Graf Rink
5433e2fa-2143-4b00-b4e7-81662d1f402c,Henry Graf Lobby Vending,1920,1080,Landscape,d3082c56-fd7a-412b-977f-c9a5ebac9679,Henry Graf Rink
6c7c62c1-f278-425d-b2ea-889e0158510c,Henry Graf Middle Left,1920,1080,Landscape,d3082c56-fd7a-412b-977f-c9a5ebac9679,Henry Graf Rink
01794fa6-ce99-4404-8e6e-f6e3441a5b5f,Henry Graf Middle Right,1920,1080,Landscape,d3082c56-fd7a-412b-977f-c9a5ebac9679,Henry Graf Rink
1c973447-5f7a-4bbe-9eb0-2e08ade7eecc,New Bedford Main TV,1920,1080,Landscape,af14b03e-cdf3-4afa-9c1a-2e487ca2c262,Hetland Skating Arena
16c39063-b323-400e-a096-8a31969ccf82,New Bedford Portrait Left,1080,1920,Portrait,af14b03e-cdf3-4afa-9c1a-2e487ca2c262,Hetland Skating Arena
bbabbcf0-678d-48c4-b3f2-ec999430cd76,New Bedford Portrait Right,1080,1920,Portrait,af14b03e-cdf3-4afa-9c1a-2e487ca2c262,Hetland Skating Arena
